,Range,SNR,Number Of People
55,4.055203278952819,80.14582061767578,1
56,4.104061586715592,79.824951171875,1
57,4.006345662074033,89.33526611328125,1
58,3.957487879311035,118.9175033569336,1
59,3.9086299576556374,106.58155822753906,1
60,3.8597722987572243,215.6944122314453,1
61,3.8597722987572243,293.8971252441406,1
62,3.8109143424971985,344.3639221191406,1
63,3.8109143424971985,429.9544982910156,1
64,3.8109143424971985,117.36397552490234,1
65,3.7620562295404505,268.14410400390625,1
66,3.7131984491512897,151.64402770996094,1
67,3.7131984815101604,93.2004165649414,1
68,3.6643406993186556,118.33641815185547,1
69,3.859771993516527,64.8987045288086,1
70,3.859771993516527,75.98564147949219,1
71,3.517767040717169,113.25618743896484,1
72,3.517766914381743,77.6978759765625,1
73,3.517766914381743,88.11491394042969,1
74,3.4689089082268456,67.16358184814453,1
75,3.5177670063253443,46.9830436706543,1
76,3.42005142555873,30.711063385009766,1
77,3.3223355822479346,52.76023864746094,1
78,3.273477643290223,44.615970611572266,1
79,3.2734775555902598,49.56806564331055,1
80,3.2734775607390567,44.99341583251953,1
81,3.224619810819817,31.46605110168457,1
82,3.224619810819817,70.49053192138672,1
83,3.224619818285241,170.05471801757812,1
84,3.224619818285241,181.699951171875,1
85,3.224619722151553,97.44773864746094,1
86,3.224619722151553,102.76370239257812,1
87,3.17576177181013,109.86479187011719,1
88,3.1757620358133827,99.8415756225586,1
89,3.1757620358133827,151.07679748535156,1
90,3.175761933639285,138.1904754638672,1
91,3.175761933639285,81.84513092041016,1
92,3.175761933639285,86.88574981689453,1
93,3.078046101879974,311.8832092285156,1
94,3.1269040688466783,99.06317901611328,1
95,3.2734777255879486,87.51588439941406,1
96,3.126904056702809,54.21871566772461,1
97,3.2734773948476086,120.73328399658203,1
98,3.2734773948476086,58.954254150390625,1
99,3.126903846600607,136.06700134277344,1
100,3.1757618920969986,166.29563903808594,1
101,3.1757618920969986,70.07402801513672,1
102,3.175762045434098,62.73377990722656,1
103,3.175762045434098,61.778472900390625,1
104,3.3223355822479346,79.91606140136719,1
105,3.2246199670894957,87.50175476074219,1
106,3.224619780225638,31.56995964050293,1
107,3.3711933919289923,41.373931884765625,1
108,3.3711933919289923,24.57253646850586,1
109,3.2734775789548536,51.79644775390625,1
110,3.468909041583218,25.411714553833008,1
111,3.4689090097851865,38.5125617980957,1
112,3.4689091073078226,73.47035217285156,1
113,3.3711933522700805,82.14988708496094,1
114,3.468909065593418,44.963138580322266,1
115,3.371193271724152,38.787353515625,1
116,3.5177668355928824,57.814239501953125,1
117,3.4200513526918224,90.54610443115234,1
118,3.5177670366191767,69.5300521850586,1
119,3.4689090354680903,67.539306640625,1
120,3.566624863520223,44.11541748046875,1
121,3.4689089680140994,52.20598602294922,1
122,3.6643406593793393,37.735687255859375,1
123,3.5177669488817287,68.41014099121094,1
124,3.5177669488817287,50.150421142578125,1
125,3.5177668045907406,35.344444274902344,1
126,3.5666247744950215,41.949859619140625,1
127,3.6643406593793393,26.988548278808594,1
128,3.664340685166292,46.79696273803711,1
129,3.5177668045907406,56.61396408081055,1
130,3.5177668045907406,94.91140747070312,1
131,3.615482977943285,40.53654479980469,1
132,3.6154828084776454,112.72418212890625,1
133,3.4689091239512853,43.66658020019531,1
