Range DKF,Range RKF,Absolute Value Error,Comments,RMSE Error,0.493572075
3.240598773,3.224964142,0.015634631,,,
3.179205568,3.163670063,0.015535505,,,
3.147486261,3.131897926,0.015588335,,,
3.121689055,3.106076002,0.015613053,,,
3.098498995,3.082980871,0.015518124,,,
3.088613974,3.073300123,0.015313851,,,
2.997756619,2.982313395,0.015443224,,,
2.99709794,2.981436968,0.015660972,,,
2.973523145,2.957913876,0.015609269,,,
2.919954092,2.904379845,0.015574247,,,
2.907366655,2.891934633,0.015432022,,,
2.869958964,2.854701519,0.015257445,,,
2.857679167,2.842594385,0.015084782,,,
2.818149113,2.803234577,0.014914536,,,
2.775438544,2.7604568,0.014981744,,,
2.711954166,2.696567297,0.015386869,,,
2.718161705,2.702594519,0.015567186,,,
2.633702222,2.61788106,0.015821163,,,
2.600390725,2.584171295,0.016219429,,,
2.591873723,2.575533628,0.016340094,,,
2.544427705,2.528108358,0.016319347,,,
2.481495858,2.465028286,0.016467572,,,
2.47037718,2.453764439,0.016612741,,,
2.398791907,2.381924868,0.016867039,,,
2.383011089,2.366002798,0.017008291,,,
2.377619508,2.360911608,0.0167079,,,
2.3406524,2.324423313,0.016229087,,,
2.318687489,2.30292058,0.015766909,,,
2.278232072,2.26267767,0.015554403,,,
2.216637709,2.200977325,0.015660384,,,
2.229506956,2.21381712,0.015689837,,,
2.185785498,2.170073271,0.015712227,,,
2.19819457,2.182673693,0.015520878,,,
2.150580673,2.135332823,0.01524785,,,
2.08234533,2.067065001,0.01528033,,,
2.057075769,2.041638851,0.015436918,,,
1.98250844,1.966601968,0.015906472,,,
1.967984276,1.951567173,0.016417103,,,
1.942306092,1.92569685,0.016609242,,,
1.921627386,1.904946685,0.016680702,,,
1.874413822,1.85760498,0.016808841,,,
1.824133937,1.807162285,0.016971652,,,
1.847180701,1.83023262,0.016948081,,,
1.796811061,1.779932857,0.016878205,,,
1.748107132,1.731139779,0.016967353,,,
1.723990045,1.706819057,0.017170988,,,
1.722201607,1.704928637,0.017272971,,,
1.673630416,1.656303406,0.01732701,,,
1.635683868,1.618222594,0.017461274,,,
1.564799179,1.546995044,0.017804135,,,
1.530658371,1.512448192,0.018210179,,,
1.530721637,1.47826004,0.052461597,,,
1.530784903,1.444071889,0.086713014,,,
1.517311949,1.480246425,0.037065524,,,
1.426018515,1.398248076,0.027770439,,,
1.420885634,1.397773504,0.02311213,,,
1.40442835,1.383735299,0.020693051,,,
1.327623095,1.307891965,0.01973113,,,
1.365305797,1.346011639,0.019294158,,,
1.317260598,1.298124552,0.019136047,,,
1.292442152,1.273209333,0.019232819,,,
1.289672719,1.270398855,0.019273863,,,
1.289436089,1.241615295,0.047820794,,,
1.289199459,1.212831736,0.076367724,,,
1.325318591,1.286973834,0.038344757,,,
1.284915759,1.256334424,0.028581335,,,
1.284674315,1.232224464,0.052449851,,,
1.284432872,1.208114505,0.076318367,,,
1.284191429,1.184004545,0.100186883,,,
1.283949985,1.159894586,0.1240554,,,
1.283708542,1.135784626,0.147923916,,,
1.283467099,1.111674666,0.171792432,,,
1.283225655,1.087564707,0.195660949,,,
1.282984212,1.063454747,0.219529465,,,
1.282742769,1.039344788,0.243397981,Prediction Error,,
1.282501325,1.015234828,0.267266497,,,
1.282259882,0.991124928,0.291134954,,,
1.374367433,1.24670887,0.127658563,,,
1.311838205,1.239121795,0.07271641,,,
1.313583993,1.268661141,0.044922852,,,
1.298631606,1.267901421,0.030730185,,,
1.306120004,1.282802701,0.023317303,,,
1.305909589,1.275767088,0.030142501,,,
1.363995415,1.337204456,0.026790959,,,
1.363857779,1.333433509,0.030424271,,,
1.378169483,1.35096705,0.027202433,,,
1.443578399,1.42397356,0.019604839,,,
1.443540611,1.424792528,0.018748083,,,
1.443502822,1.425611496,0.017891327,,,
1.443465034,1.426430464,0.01703457,,,
1.443427246,1.427249432,0.016177814,,,
1.443389457,1.428068399,0.015321058,,,
1.542888862,1.50030458,0.042584283,,,
1.54297534,1.504471421,0.038503919,,,
1.543061818,1.508638263,0.034423555,,,
1.614865375,1.581403971,0.033461404,,,
1.615041387,1.588817596,0.026223791,,,
1.657615241,1.634765267,0.022849973,,,
1.657844184,1.643988013,0.013856171,,,
1.695436532,1.679151297,0.016285235,,,
1.71751255,1.707656384,0.009856166,,,
1.717815356,1.71891129,0.001095935,,,
1.718118161,1.730166197,0.012048036,,,
1.718420967,1.741421103,0.023000136,,,
1.718723773,1.75267601,0.033952237,,,
1.719026578,1.763930917,0.044904338,,,
1.719329384,1.775185823,0.055856439,,,
1.71963219,1.78644073,0.06680854,,,
1.719934996,1.797695637,0.077760641,,,
1.720237801,1.808950543,0.088712742,,,
1.720540607,1.82020545,0.099664843,,,
1.720843413,1.831460357,0.110616944,,,
1.721146218,1.842715263,0.121569045,,,
1.721449024,1.85397017,0.132521146,,,
1.72175183,1.865225077,0.143473247,,,
1.722054636,1.876479983,0.154425348,,,
1.722357441,1.88773489,0.165377449,,,
1.722660247,1.898989797,0.17632955,,,
1.722963053,1.910244703,0.187281651,,,
1.723265858,1.92149961,0.198233752,Prediction Error,,
1.723568664,1.932754517,0.209185852,Prediction Error,,
1.72387147,1.944009423,0.220137953,Prediction Error,,
1.724174276,1.95526433,0.231090054,Prediction Error,,
2.208532616,2.172701836,0.03583078,,,
2.209439736,2.193639755,0.015799981,,,
2.311406756,2.299143553,0.012263203,,,
2.312440042,2.32399416,0.011554117,,,
2.313473329,2.348844767,0.035371437,,,
2.314506616,2.373695374,0.059188757,,,
2.315539903,2.39854598,0.083006077,,,
2.31657319,2.423396587,0.106823397,,,
2.317606477,2.448247194,0.130640717,,,
2.318639764,2.473097801,0.154458037,,,
2.319673051,2.497948408,0.178275357,,,
2.598016936,2.63170743,0.033690494,,,
2.599396428,2.661662102,0.062265673,,,
2.855763032,2.88615799,0.030394958,,,
2.92166348,2.945297956,0.023634477,,,
2.903798004,2.924421787,0.020623783,,,
2.905551462,2.961593866,0.056042405,,,
2.907304919,2.998765945,0.091461026,,,
2.909058377,3.035938025,0.126879647,,,
2.910811835,3.073110104,0.162298269,,,
3.044539146,3.098914623,0.054375478,,,
3.046457365,3.135534048,0.089076683,,,
3.048375584,3.172153473,0.123777889,,,
3.050293803,3.208772898,0.158479095,,,
3.052212022,3.245392323,0.1931803,,,
3.054130241,3.282011747,0.227881506,,,
3.05604846,3.318631172,0.262582712,,,
3.153485216,3.241774321,0.088289105,,,
3.155522684,3.272900343,0.117377659,,,
3.157560152,3.304026365,0.146466213,,,
3.159597621,3.335152388,0.175554767,,,
3.161635089,3.36627841,0.204643321,,,
3.163672557,3.397404432,0.233731875,,,
3.165710025,3.428530455,0.262820429,,,
3.167747494,3.459656477,0.291908983,,,
3.169784962,3.490782499,0.320997537,,,
3.17182243,3.521908522,0.350086091,,,
3.173859898,3.553034544,0.379174646,,,
3.175897367,3.584160566,0.4082632,,,
3.177934835,3.615286589,0.437351754,,,
3.179972303,3.646412611,0.466440308,,,
3.182009771,3.677538633,0.495528862,,,
3.18404724,3.708664656,0.524617416,Unsure what causes this error could be prediction,,
3.692414884,3.869935989,0.177521106,,,
3.787683577,3.88533473,0.097651153,,,
3.790468772,3.921648502,0.13117973,,,
3.838585236,3.905174255,0.06658902,,,
3.841427024,3.938942432,0.097515408,,,
3.844268813,3.972710609,0.128441797,,,
3.847110601,4.006478786,0.159368185,,,
3.84995239,4.040246964,0.190294574,,,
3.852794178,4.074015141,0.221220962,,,
3.855635967,4.107783318,0.252147351,,,
3.858477755,4.141551495,0.283073739,,,
3.861319544,4.175319672,0.314000128,,,
4.157861412,4.269165516,0.111304104,,,
4.161069867,4.305841923,0.144772055,,,
4.283277873,4.356623173,0.073345299,,,
4.314356392,4.359932899,0.045576507,,,
4.31774802,4.395624161,0.077876141,,,
4.419815312,4.460268974,0.040453663,,,
4.42333013,4.497377872,0.074047742,,,
4.498137391,4.535928726,0.037791335,,,
4.568661079,4.596449375,0.027788296,,,
4.618930225,4.641862869,0.022932644,,,
4.687526549,4.708143711,0.020617162,,,
4.633317093,4.652582169,0.019265075,,,
4.666349467,4.684682846,0.018333379,,,
4.67014005,4.719884396,0.049744346,,,
4.736657613,4.763134956,0.026477344,,,
4.782887735,4.804857254,0.021969519,,,
4.75544897,4.775043488,0.019594517,,,
4.806746934,4.824886799,0.018139864,,,
4.789851508,4.806908607,0.017057099,,,
4.761153042,4.777348995,0.016195953,,,
4.804263612,4.819973946,0.015710334,,,
4.81756573,4.832933426,0.015367696,,,
4.917348641,4.93254137,0.01519273,,,
4.921404083,4.964111805,0.042707722,,,
4.900380008,4.923084259,0.022704251,,,
4.904404139,4.951120853,0.046716714,,,
4.908428271,4.979157448,0.070729177,,,
4.912452402,5.007194042,0.09474164,,,
4.916476534,5.035230637,0.118754103,,,
4.920500665,5.063267231,0.142766566,,,
4.924524797,5.091303825,0.166779029,,,
4.928548928,5.11934042,0.190791492,,,
4.93257306,5.147377014,0.214803954,,,
4.936597191,5.175413609,0.238816417,,,
4.940621323,5.203450203,0.26282888,,,
4.944645454,5.231486797,0.286841343,,,
4.948669586,5.259523392,0.310853806,,,
4.952693717,5.287559986,0.334866269,,,
4.956717849,5.315596581,0.358878732,,,
4.96074198,5.343633175,0.382891195,,,
4.964766112,5.371669769,0.406903658,,,
4.968790243,5.399706364,0.430916121,,,
4.972814375,5.427742958,0.454928584,,,
4.976838506,5.455779552,0.478941046,,,
4.980862637,5.483816147,0.502953509,,,
4.984886769,5.511852741,0.526965972,,,
4.9889109,5.539889336,0.550978435,,,
4.992935032,5.56792593,0.574990898,,,
4.996959163,5.595962524,0.599003361,,,
5.000983295,5.623999119,0.623015824,,,
5.005007426,5.652035713,0.647028287,,,
5.009031558,5.680072308,0.67104075,,,
5.013055689,5.708108902,0.695053213,,,
5.017079821,5.736145496,0.719065676,,,
5.021103952,5.764182091,0.743078138,,,
