Index,maxDistance,minClusterSize,Misclassifications,Accuracy %,Max Frames,1024
326,0.95,5,364,64.453125,,
327,0.95,6,385,62.40234375,,
328,0.95,7,411,59.86328125,,
329,0.95,8,424,58.59375,,
330,0.95,9,454,55.6640625,,
331,0.95,10,480,53.125,,
332,0.95,11,503,50.87890625,,
333,0.95,12,526,48.6328125,,
334,0.95,13,546,46.6796875,,
335,0.95,14,562,45.1171875,,
336,0.95,15,71,93.06640625,,
337,0.95,16,88,91.40625,,
338,0.95,17,101,90.13671875,,
339,0.95,18,118,88.4765625,,
340,0.95,19,137,86.62109375,,
341,0.95,20,149,85.44921875,,
342,1,2,169,83.49609375,,
343,1,3,183,82.12890625,,
344,1,4,200,80.46875,,
345,1,5,209,79.58984375,,
346,1,6,225,78.02734375,,
347,1,7,236,76.953125,,
348,1,8,247,75.87890625,,
349,1,9,268,73.828125,,
350,1,10,284,72.265625,,
351,1,11,301,70.60546875,,
352,1,12,329,67.87109375,,
353,1,13,340,66.796875,,
354,1,14,364,64.453125,,
355,1,15,385,62.40234375,,
356,1,16,411,59.86328125,,
357,1,17,424,58.59375,,
358,1,18,453,55.76171875,,
359,1,19,478,53.3203125,,
360,1,20,501,51.07421875,,
361,1.05,2,526,48.6328125,,
362,1.05,3,545,46.77734375,,
363,1.05,4,561,45.21484375,,
364,1.05,5,68,93.359375,,
365,1.05,6,87,91.50390625,,
366,1.05,7,100,90.234375,,
367,1.05,8,118,88.4765625,,
368,1.05,9,137,86.62109375,,
369,1.05,10,149,85.44921875,,
370,1.05,11,169,83.49609375,,
371,1.05,12,183,82.12890625,,
372,1.05,13,200,80.46875,,
373,1.05,14,209,79.58984375,,
374,1.05,15,225,78.02734375,,
375,1.05,16,236,76.953125,,
376,1.05,17,247,75.87890625,,
377,1.05,18,268,73.828125,,
378,1.05,19,284,72.265625,,
379,1.05,20,301,70.60546875,,
380,1.1,2,329,67.87109375,,
381,1.1,3,340,66.796875,,
382,1.1,4,364,64.453125,,
383,1.1,5,385,62.40234375,,
384,1.1,6,411,59.86328125,,
