,Eps,MinSamples,Misclassifications
314,0.6500000000000001,8.0,339.0
315,0.6500000000000001,9.0,349.0
316,0.6500000000000001,10.0,356.0
317,0.6500000000000001,11.0,371.0
318,0.6500000000000001,12.0,384.0
319,0.6500000000000001,13.0,394.0
320,0.6500000000000001,14.0,400.0
321,0.6500000000000001,15.0,405.0
322,0.6500000000000001,16.0,419.0
323,0.6500000000000001,17.0,429.0
324,0.6500000000000001,18.0,436.0
325,0.6500000000000001,19.0,444.0
326,0.6500000000000001,20.0,451.0
327,0.6500000000000001,21.0,457.0
328,0.6500000000000001,22.0,462.0
329,0.6500000000000001,23.0,467.0
330,0.6500000000000001,24.0,473.0
331,0.6500000000000001,25.0,478.0
332,0.6500000000000001,26.0,486.0
333,0.6500000000000001,27.0,489.0
334,0.6500000000000001,28.0,493.0
335,0.6500000000000001,29.0,497.0
336,0.7000000000000002,2.0,255.0
337,0.7000000000000002,3.0,276.0
338,0.7000000000000002,4.0,288.0
339,0.7000000000000002,5.0,303.0
340,0.7000000000000002,6.0,316.0
341,0.7000000000000002,7.0,329.0
342,0.7000000000000002,8.0,339.0
343,0.7000000000000002,9.0,349.0
344,0.7000000000000002,10.0,356.0
345,0.7000000000000002,11.0,371.0
346,0.7000000000000002,12.0,384.0
347,0.7000000000000002,13.0,394.0
348,0.7000000000000002,14.0,400.0
349,0.7000000000000002,15.0,405.0
350,0.7000000000000002,16.0,418.0
351,0.7000000000000002,17.0,429.0
352,0.7000000000000002,18.0,436.0
353,0.7000000000000002,19.0,444.0
354,0.7000000000000002,20.0,450.0
355,0.7000000000000002,21.0,457.0
356,0.7000000000000002,22.0,462.0
357,0.7000000000000002,23.0,467.0
358,0.7000000000000002,24.0,473.0
359,0.7000000000000002,25.0,478.0
360,0.7000000000000002,26.0,485.0
361,0.7000000000000002,27.0,489.0
362,0.7000000000000002,28.0,493.0
363,0.7000000000000002,29.0,497.0
364,0.7500000000000002,2.0,257.0
365,0.7500000000000002,3.0,277.0
366,0.7500000000000002,4.0,289.0
367,0.7500000000000002,5.0,304.0
368,0.7500000000000002,6.0,317.0
369,0.7500000000000002,7.0,330.0
370,0.7500000000000002,8.0,340.0
371,0.7500000000000002,9.0,350.0
372,0.7500000000000002,10.0,356.0
373,0.7500000000000002,11.0,371.0
374,0.7500000000000002,12.0,384.0
375,0.7500000000000002,13.0,394.0
376,0.7500000000000002,14.0,400.0
377,0.7500000000000002,15.0,405.0
378,0.7500000000000002,16.0,418.0
379,0.7500000000000002,17.0,429.0
380,0.7500000000000002,18.0,436.0
381,0.7500000000000002,19.0,444.0
382,0.7500000000000002,20.0,450.0
383,0.7500000000000002,21.0,456.0
384,0.7500000000000002,22.0,462.0
385,0.7500000000000002,23.0,467.0
386,0.7500000000000002,24.0,473.0
387,0.7500000000000002,25.0,478.0
388,0.7500000000000002,26.0,485.0
389,0.7500000000000002,27.0,488.0
390,0.7500000000000002,28.0,493.0
391,0.7500000000000002,29.0,497.0
