,FilteredRange,FilteredDoppler,FilteredTheta,FilteredAngularVelocity,CentroidNumber
599,5.0746828544086435,0.11902884777374337,1.2415159353103284,0.028210755848417392,2
600,1.3625859302127883,0.005748090109391226,2.0390222928740367,0.0364636653761464,0
601,1.5206643177808845,0.021223857788789376,1.781204736601412,0.03522472174567483,1
602,1.3454479276086253,0.005312998795792415,2.005826609304324,0.0355892866785554,0
603,5.125202661670372,0.12014166587294539,1.2352560612914154,0.02801923495425175,2
604,1.521725510670324,0.021223857788789376,1.782965972688696,0.03522472174567483,1
605,1.345713577548415,0.005312998795792415,2.007606073638252,0.0355892866785554,0
606,5.131209744964019,0.12014166587294539,1.236657023039128,0.02801923495425175,2
607,1.5227867035597635,0.021223857788789376,1.7847272087759798,0.03522472174567483,1
608,1.3459792274882048,0.005312998795792415,2.0093855379721797,0.0355892866785554,0
609,5.137216828257666,0.12014166587294539,1.2380579847868407,0.02801923495425175,2
610,1.523847896449203,0.021223857788789376,1.7864884448632636,0.03522472174567483,1
611,1.3462448774279945,0.005312998795792415,2.0111650023061074,0.0355892866785554,0
612,5.1432239115513125,0.12014166587294539,1.2394589465345534,0.02801923495425175,2
613,1.5249090893386426,0.021223857788789376,1.7882496809505475,0.03522472174567483,1
614,1.3465105273677842,0.005312998795792415,2.012944466640035,0.0355892866785554,0
615,5.1492309948449595,0.12014166587294539,1.240859908282266,0.02801923495425175,2
616,1.525970282228082,0.021223857788789376,1.7900109170378313,0.03522472174567483,1
617,1.346776177307574,0.005312998795792415,2.014723930973963,0.0355892866785554,0
618,5.1552380781386065,0.12014166587294539,1.2422608700299786,0.02801923495425175,2
619,1.5270314751175216,0.021223857788789376,1.7917721531251152,0.03522472174567483,1
620,1.3470418272473637,0.005312998795792415,2.0165033953078906,0.0355892866785554,0
621,5.161245161432253,0.12014166587294539,1.2436618317776913,0.02801923495425175,2
622,1.528092668006961,0.021223857788789376,1.793533389212399,0.03522472174567483,1
623,1.3473074771871534,0.005312998795792415,2.0182828596418183,0.0355892866785554,0
624,5.1672522447259,0.12014166587294539,1.245062793525404,0.02801923495425175,2
625,1.5291538608964006,0.021223857788789376,1.7952946252996829,0.03522472174567483,1
626,1.347573127126943,0.005312998795792415,2.020062323975746,0.0355892866785554,0
627,5.173259328019547,0.12014166587294539,1.2464637552731166,0.02801923495425175,2
628,1.53021505378584,0.021223857788789376,1.7970558613869667,0.03522472174567483,1
629,1.3478387770667328,0.005312998795792415,2.0218417883096738,0.0355892866785554,0
630,5.179266411313194,0.12014166587294539,1.2478647170208292,0.02801923495425175,2
631,1.5312762466752796,0.021223857788789376,1.7988170974742506,0.03522472174567483,1
632,1.3481044270065226,0.005312998795792415,2.0236212526436015,0.0355892866785554,0
633,5.185273494606841,0.12014166587294539,1.2492656787685419,0.02801923495425175,2
634,1.5323374395647191,0.021223857788789376,1.8005783335615344,0.03522472174567483,1
635,1.3483700769463123,0.005312998795792415,2.025400716977529,0.0355892866785554,0
636,5.191280577900488,0.12014166587294539,1.2506666405162545,0.02801923495425175,2
