,TI,Group 16,xTi,yTi,xGroup16,yGroup16
99,1.0,1.0,-2.349341869354248,4.145356178283691,-2.267266882752978,4.08950622990059
100,1.0,1.0,-2.3417768478393555,4.143458366394043,-2.2225356871706397,4.110215243126352
101,1.0,1.0,-2.3084280490875244,4.1693854331970215,-2.268213375004579,4.135234522412429
102,1.0,1.0,-2.309549570083618,4.175006866455078,-2.210625873188477,4.116113811441268
103,1.0,1.0,-2.2962069511413574,4.182863235473633,-2.2310108312650843,4.093049945885765
104,1.0,1.0,-2.3044700622558594,4.181547164916992,-2.265723548361,4.190671600382565
105,1.0,1.0,-2.2997488975524902,4.194111347198486,-2.3546342404394123,4.094778238499706
106,1.0,1.0,-2.3451411724090576,4.175934791564941,-2.253750268593377,4.20086101715576
107,1.0,1.0,-2.3319578170776367,4.192653656005859,-2.24257210369099,4.114211490025151
108,1.0,1.0,-2.305864095687866,4.199230194091797,-2.259867009060736,4.198733155286545
109,1.0,1.0,-2.289311170578003,4.203769683837891,-2.3103406645345985,4.062692893593368
110,1.0,1.0,-2.3022942543029785,4.18218994140625,-2.233753476245737,4.079481804391489
111,1.0,1.0,-2.2988357543945312,4.170386791229248,-2.2369377777858577,4.142431599995814
112,1.0,1.0,-2.2621824741363525,4.184206962585449,-2.2166823930345756,4.151008079530683
113,1.0,1.0,-2.2682316303253174,4.179378032684326,-2.2714444580992676,4.167910833191262
114,1.0,1.0,-2.2837681770324707,4.180233478546143,-2.211051153983042,4.154407686544033
115,1.0,1.0,-2.2863881587982178,4.17503547668457,-2.24481546798909,4.1030934479738805
116,1.0,1.0,-2.300879716873169,4.1639404296875,-2.278363337583549,4.111209939491415
117,1.0,1.0,-2.3013713359832764,4.161738872528076,-2.2596078258117216,4.125560085000795
118,1.0,1.0,-2.3033573627471924,4.149348258972168,-2.2766125997111777,4.122458209481128
119,1.0,1.0,-2.315121650695801,4.136451721191406,-2.293323491242853,4.112274378274962
120,1.0,1.0,-2.311809539794922,4.141149520874023,-2.2774300485067225,4.147495670224626
121,1.0,1.0,-2.327993392944336,4.140084266662598,-2.2774300485067225,4.147495670224626
122,1.0,1.0,-2.306903839111328,4.156198024749756,-2.037567120826515,4.16117043492859
123,1.0,1.0,-2.2748003005981445,4.172901630401611,-2.1813134858095404,4.11973457100353
124,1.0,1.0,-2.261396646499634,4.1811933517456055,-2.2276471133920857,4.207227974019354
125,1.0,1.0,-2.2560927867889404,4.184776782989502,-2.172304392531361,4.143958943350009
126,1.0,1.0,-2.269211530685425,4.182905197143555,-2.176764785068113,4.201282979419742
127,1.0,1.0,-2.2734086513519287,4.187136650085449,-2.3145543850396284,4.213998503892169
128,1.0,1.0,-2.288916826248169,4.193302631378174,-2.1382691659979054,4.225798117448976
129,1.0,1.0,-2.3000738620758057,4.196310043334961,-2.2761860403834464,4.121832263747573
130,1.0,1.0,-2.3273067474365234,4.184718608856201,-2.3090433117998357,4.206501175543586
131,1.0,1.0,-2.3561389446258545,4.179959774017334,-2.3090433117998357,4.206501175543586
132,1.0,1.0,-2.344550132751465,4.178339004516602,-2.223171582602431,4.109073615543898
133,1.0,1.0,-2.350796937942505,4.162039756774902,-2.2160565969716375,4.143401203860898
134,1.0,1.0,-2.3323285579681396,4.171023845672607,-2.2160565969716375,4.143401203860898
135,1.0,1.0,-2.328728199005127,4.173362731933594,-2.1416197971889117,4.169351883099643
136,1.0,1.0,-2.307048797607422,4.180053234100342,-2.2570151046819036,4.107145183123574
137,1.0,1.0,-2.3055734634399414,4.173023223876953,-2.2433080367166487,4.137184261274294
