,Number Of People,Iteration,Runtime,With/Without
273,1,137,14,Without Preliminary Noise Reduction
274,1,138,7,With Preliminary Noise Reduction
275,1,138,15,Without Preliminary Noise Reduction
276,1,139,7,With Preliminary Noise Reduction
277,1,139,13,Without Preliminary Noise Reduction
278,1,140,10,With Preliminary Noise Reduction
279,1,140,20,Without Preliminary Noise Reduction
280,1,141,7,With Preliminary Noise Reduction
281,1,141,15,Without Preliminary Noise Reduction
282,1,142,3,With Preliminary Noise Reduction
283,1,142,18,Without Preliminary Noise Reduction
284,1,143,9,With Preliminary Noise Reduction
285,1,143,15,Without Preliminary Noise Reduction
286,1,144,4,With Preliminary Noise Reduction
287,1,144,18,Without Preliminary Noise Reduction
288,1,145,1,With Preliminary Noise Reduction
289,1,145,9,Without Preliminary Noise Reduction
290,1,146,7,With Preliminary Noise Reduction
291,1,146,19,Without Preliminary Noise Reduction
292,1,147,9,With Preliminary Noise Reduction
293,1,147,10,Without Preliminary Noise Reduction
294,1,148,10,With Preliminary Noise Reduction
295,1,148,9,Without Preliminary Noise Reduction
296,1,149,9,With Preliminary Noise Reduction
297,1,149,10,Without Preliminary Noise Reduction
298,1,150,4,With Preliminary Noise Reduction
299,1,150,11,Without Preliminary Noise Reduction
300,1,151,8,With Preliminary Noise Reduction
301,1,151,12,Without Preliminary Noise Reduction
302,1,152,9,With Preliminary Noise Reduction
303,1,152,19,Without Preliminary Noise Reduction
304,1,153,2,With Preliminary Noise Reduction
305,1,153,15,Without Preliminary Noise Reduction
306,1,154,9,With Preliminary Noise Reduction
307,1,154,9,Without Preliminary Noise Reduction
308,1,155,7,With Preliminary Noise Reduction
309,1,155,18,Without Preliminary Noise Reduction
310,1,156,10,With Preliminary Noise Reduction
311,1,156,13,Without Preliminary Noise Reduction
312,1,157,2,With Preliminary Noise Reduction
313,1,157,9,Without Preliminary Noise Reduction
314,1,158,8,With Preliminary Noise Reduction
315,1,158,8,Without Preliminary Noise Reduction
316,1,159,9,With Preliminary Noise Reduction
317,1,159,12,Without Preliminary Noise Reduction
318,1,160,1,With Preliminary Noise Reduction
319,1,160,16,Without Preliminary Noise Reduction
320,1,161,0,With Preliminary Noise Reduction
321,1,161,17,Without Preliminary Noise Reduction
322,1,162,4,With Preliminary Noise Reduction
323,1,162,9,Without Preliminary Noise Reduction
324,1,163,5,With Preliminary Noise Reduction
325,1,163,9,Without Preliminary Noise Reduction
326,1,164,10,With Preliminary Noise Reduction
327,1,164,20,Without Preliminary Noise Reduction
328,1,165,3,With Preliminary Noise Reduction
329,1,165,10,Without Preliminary Noise Reduction
330,1,166,6,With Preliminary Noise Reduction
331,1,166,18,Without Preliminary Noise Reduction
332,1,167,8,With Preliminary Noise Reduction
333,1,167,19,Without Preliminary Noise Reduction
334,1,168,9,With Preliminary Noise Reduction
335,1,168,19,Without Preliminary Noise Reduction
336,1,169,3,With Preliminary Noise Reduction
337,1,169,15,Without Preliminary Noise Reduction
338,1,170,3,With Preliminary Noise Reduction
339,1,170,12,Without Preliminary Noise Reduction
340,1,171,8,With Preliminary Noise Reduction
341,1,171,10,Without Preliminary Noise Reduction
342,1,172,5,With Preliminary Noise Reduction
343,1,172,9,Without Preliminary Noise Reduction
344,1,173,8,With Preliminary Noise Reduction
345,1,173,10,Without Preliminary Noise Reduction
346,1,174,7,With Preliminary Noise Reduction
347,1,174,12,Without Preliminary Noise Reduction
348,1,175,6,With Preliminary Noise Reduction
349,1,175,12,Without Preliminary Noise Reduction
350,1,176,0,With Preliminary Noise Reduction
351,1,176,20,Without Preliminary Noise Reduction
352,1,177,4,With Preliminary Noise Reduction
353,1,177,10,Without Preliminary Noise Reduction
354,1,178,0,With Preliminary Noise Reduction
355,1,178,18,Without Preliminary Noise Reduction
356,1,179,10,With Preliminary Noise Reduction
357,1,179,9,Without Preliminary Noise Reduction
358,1,180,10,With Preliminary Noise Reduction
359,1,180,18,Without Preliminary Noise Reduction
360,1,181,3,With Preliminary Noise Reduction
361,1,181,16,Without Preliminary Noise Reduction
362,1,182,2,With Preliminary Noise Reduction
363,1,182,20,Without Preliminary Noise Reduction
364,1,183,2,With Preliminary Noise Reduction
365,1,183,11,Without Preliminary Noise Reduction
366,1,184,8,With Preliminary Noise Reduction
367,1,184,14,Without Preliminary Noise Reduction
368,1,185,2,With Preliminary Noise Reduction
369,1,185,19,Without Preliminary Noise Reduction
370,1,186,4,With Preliminary Noise Reduction
371,1,186,17,Without Preliminary Noise Reduction
372,1,187,8,With Preliminary Noise Reduction
373,1,187,12,Without Preliminary Noise Reduction
374,1,188,4,With Preliminary Noise Reduction
375,1,188,16,Without Preliminary Noise Reduction
376,1,189,0,With Preliminary Noise Reduction
377,1,189,11,Without Preliminary Noise Reduction
378,1,190,5,With Preliminary Noise Reduction
379,1,190,18,Without Preliminary Noise Reduction
380,1,191,3,With Preliminary Noise Reduction
381,1,191,8,Without Preliminary Noise Reduction
382,1,192,4,With Preliminary Noise Reduction
383,1,192,11,Without Preliminary Noise Reduction
384,1,193,3,With Preliminary Noise Reduction
385,1,193,14,Without Preliminary Noise Reduction
386,1,194,8,With Preliminary Noise Reduction
387,1,194,16,Without Preliminary Noise Reduction
388,1,195,0,With Preliminary Noise Reduction
389,1,195,19,Without Preliminary Noise Reduction
390,1,196,6,With Preliminary Noise Reduction
391,1,196,14,Without Preliminary Noise Reduction
392,1,197,6,With Preliminary Noise Reduction
393,1,197,11,Without Preliminary Noise Reduction
394,1,198,1,With Preliminary Noise Reduction
395,1,198,16,Without Preliminary Noise Reduction
396,1,199,1,With Preliminary Noise Reduction
397,1,199,18,Without Preliminary Noise Reduction
398,1,200,9,With Preliminary Noise Reduction
399,1,200,14,Without Preliminary Noise Reduction
400,1,201,5,With Preliminary Noise Reduction
401,1,201,12,Without Preliminary Noise Reduction
402,1,202,2,With Preliminary Noise Reduction
403,1,202,16,Without Preliminary Noise Reduction
404,1,203,0,With Preliminary Noise Reduction
405,1,203,17,Without Preliminary Noise Reduction
406,1,204,6,With Preliminary Noise Reduction
407,1,204,16,Without Preliminary Noise Reduction
408,1,205,10,With Preliminary Noise Reduction
409,1,205,14,Without Preliminary Noise Reduction
410,1,206,3,With Preliminary Noise Reduction
411,1,206,12,Without Preliminary Noise Reduction
412,1,207,9,With Preliminary Noise Reduction
413,1,207,20,Without Preliminary Noise Reduction
414,1,208,3,With Preliminary Noise Reduction
415,1,208,11,Without Preliminary Noise Reduction
416,1,209,10,With Preliminary Noise Reduction
417,1,209,20,Without Preliminary Noise Reduction
418,1,210,7,With Preliminary Noise Reduction
419,1,210,12,Without Preliminary Noise Reduction
420,1,211,2,With Preliminary Noise Reduction
421,1,211,13,Without Preliminary Noise Reduction
422,1,212,4,With Preliminary Noise Reduction
423,1,212,10,Without Preliminary Noise Reduction
424,1,213,10,With Preliminary Noise Reduction
425,1,213,19,Without Preliminary Noise Reduction
426,1,214,0,With Preliminary Noise Reduction
427,1,214,19,Without Preliminary Noise Reduction
428,1,215,9,With Preliminary Noise Reduction
429,1,215,14,Without Preliminary Noise Reduction
430,1,216,1,With Preliminary Noise Reduction
431,1,216,17,Without Preliminary Noise Reduction
432,1,217,2,With Preliminary Noise Reduction
433,1,217,10,Without Preliminary Noise Reduction
434,1,218,0,With Preliminary Noise Reduction
435,1,218,10,Without Preliminary Noise Reduction
436,1,219,10,With Preliminary Noise Reduction
437,1,219,11,Without Preliminary Noise Reduction
438,1,220,5,With Preliminary Noise Reduction
439,1,220,14,Without Preliminary Noise Reduction
440,1,221,0,With Preliminary Noise Reduction
441,1,221,18,Without Preliminary Noise Reduction
442,1,222,9,With Preliminary Noise Reduction
443,1,222,15,Without Preliminary Noise Reduction
444,1,223,1,With Preliminary Noise Reduction
445,1,223,8,Without Preliminary Noise Reduction
446,1,224,4,With Preliminary Noise Reduction
447,1,224,20,Without Preliminary Noise Reduction
448,1,225,3,With Preliminary Noise Reduction
449,1,225,9,Without Preliminary Noise Reduction
450,1,226,2,With Preliminary Noise Reduction
451,1,226,12,Without Preliminary Noise Reduction
452,1,227,8,With Preliminary Noise Reduction
453,1,227,11,Without Preliminary Noise Reduction
454,1,228,7,With Preliminary Noise Reduction
455,1,228,12,Without Preliminary Noise Reduction
456,1,229,4,With Preliminary Noise Reduction
457,1,229,19,Without Preliminary Noise Reduction
458,1,230,4,With Preliminary Noise Reduction
459,1,230,13,Without Preliminary Noise Reduction
460,1,231,4,With Preliminary Noise Reduction
461,1,231,18,Without Preliminary Noise Reduction
462,1,232,8,With Preliminary Noise Reduction
463,1,232,13,Without Preliminary Noise Reduction
464,1,233,8,With Preliminary Noise Reduction
465,1,233,20,Without Preliminary Noise Reduction
466,1,234,9,With Preliminary Noise Reduction
467,1,234,18,Without Preliminary Noise Reduction
468,1,235,1,With Preliminary Noise Reduction
469,1,235,12,Without Preliminary Noise Reduction
470,1,236,9,With Preliminary Noise Reduction
471,1,236,19,Without Preliminary Noise Reduction
472,1,237,8,With Preliminary Noise Reduction
473,1,237,20,Without Preliminary Noise Reduction
474,1,238,6,With Preliminary Noise Reduction
475,1,238,19,Without Preliminary Noise Reduction
476,1,239,4,With Preliminary Noise Reduction
477,1,239,12,Without Preliminary Noise Reduction
478,1,240,1,With Preliminary Noise Reduction
479,1,240,12,Without Preliminary Noise Reduction
480,1,241,6,With Preliminary Noise Reduction
481,1,241,19,Without Preliminary Noise Reduction
482,1,242,8,With Preliminary Noise Reduction
483,1,242,8,Without Preliminary Noise Reduction
484,1,243,7,With Preliminary Noise Reduction
485,1,243,16,Without Preliminary Noise Reduction
486,1,244,2,With Preliminary Noise Reduction
487,1,244,15,Without Preliminary Noise Reduction
488,1,245,8,With Preliminary Noise Reduction
489,1,245,15,Without Preliminary Noise Reduction
490,1,246,10,With Preliminary Noise Reduction
491,1,246,9,Without Preliminary Noise Reduction
492,1,247,10,With Preliminary Noise Reduction
493,1,247,9,Without Preliminary Noise Reduction
494,1,248,9,With Preliminary Noise Reduction
495,1,248,10,Without Preliminary Noise Reduction
496,1,249,2,With Preliminary Noise Reduction
497,1,249,17,Without Preliminary Noise Reduction
498,1,250,5,With Preliminary Noise Reduction
499,1,250,14,Without Preliminary Noise Reduction
500,1,251,0,With Preliminary Noise Reduction
501,1,251,13,Without Preliminary Noise Reduction
502,1,252,5,With Preliminary Noise Reduction
503,1,252,10,Without Preliminary Noise Reduction
504,1,253,1,With Preliminary Noise Reduction
505,1,253,10,Without Preliminary Noise Reduction
506,1,254,1,With Preliminary Noise Reduction
507,1,254,8,Without Preliminary Noise Reduction
508,1,255,7,With Preliminary Noise Reduction
509,1,255,14,Without Preliminary Noise Reduction
510,1,256,1,With Preliminary Noise Reduction
511,1,256,16,Without Preliminary Noise Reduction
512,1,257,2,With Preliminary Noise Reduction
513,1,257,11,Without Preliminary Noise Reduction
514,1,258,4,With Preliminary Noise Reduction
515,1,258,11,Without Preliminary Noise Reduction
516,1,259,1,With Preliminary Noise Reduction
517,1,259,16,Without Preliminary Noise Reduction
518,1,260,10,With Preliminary Noise Reduction
519,1,260,18,Without Preliminary Noise Reduction
520,1,261,5,With Preliminary Noise Reduction
521,1,261,18,Without Preliminary Noise Reduction
522,1,262,8,With Preliminary Noise Reduction
523,1,262,14,Without Preliminary Noise Reduction
524,1,263,0,With Preliminary Noise Reduction
525,1,263,10,Without Preliminary Noise Reduction
526,1,264,9,With Preliminary Noise Reduction
527,1,264,14,Without Preliminary Noise Reduction
528,1,265,4,With Preliminary Noise Reduction
529,1,265,14,Without Preliminary Noise Reduction
530,1,266,4,With Preliminary Noise Reduction
531,1,266,18,Without Preliminary Noise Reduction
532,1,267,9,With Preliminary Noise Reduction
533,1,267,20,Without Preliminary Noise Reduction
534,1,268,2,With Preliminary Noise Reduction
535,1,268,14,Without Preliminary Noise Reduction
536,1,269,9,With Preliminary Noise Reduction
537,1,269,9,Without Preliminary Noise Reduction
538,1,270,7,With Preliminary Noise Reduction
539,1,270,15,Without Preliminary Noise Reduction
540,1,271,4,With Preliminary Noise Reduction
541,1,271,20,Without Preliminary Noise Reduction
542,1,272,8,With Preliminary Noise Reduction
543,1,272,9,Without Preliminary Noise Reduction
